id,character,default_instruct_ja,attack_instruct_ja,ultimate_instruct_ja,hurt_instruct_ja,death_instruct_ja
godie-n01c,勇者小呆,明るく真っ直ぐな少年の声。純真で正義感が強く、必殺技で最高潮に張り上げる。通常時の話し方。特定の実在人物の声を模倣しない。,明るく真っ直ぐな少年の声。純真で正義感が強く、必殺技で最高潮に張り上げる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,明るく真っ直ぐな少年の声。純真で正義感が強く、必殺技で最高潮に張り上げる。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,明るく真っ直ぐな少年の声。純真で正義感が強く、必殺技で最高潮に張り上げる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,明るく真っ直ぐな少年の声。純真で正義感が強く、必殺技で最高潮に張り上げる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-nplh,麻倉葉,力の抜けた飄々とした少年の声。何があっても気だるくのんびりで、戦闘でも熱血にならない。通常時の話し方。特定の実在人物の声を模倣しない。,力の抜けた飄々とした少年の声。何があっても気だるくのんびりで、戦闘でも熱血にならない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,力の抜けた飄々とした少年の声。何があっても気だるくのんびりで、戦闘でも熱血にならない。必殺技もユルく言う。張り上げず、飄々としたまま少しだけ真剣さを滲ませる。特定の実在人物の声を模倣しない。,力の抜けた飄々とした少年の声。何があっても気だるくのんびりで、戦闘でも熱血にならない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,力の抜けた飄々とした少年の声。何があっても気だるくのんびりで、戦闘でも熱血にならない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-o00k,皮卡娘,高く弾む少女の声にドSの愉悦を乗せる。悪戯っぽい笑いと嗜虐的な挑発。ツンデレ系の怒りとは違う、楽しんでいる残酷さ。通常時の話し方。特定の実在人物の声を模倣しない。,高く弾む少女の声にドSの愉悦を乗せる。悪戯っぽい笑いと嗜虐的な挑発。ツンデレ系の怒りとは違う、楽しんでいる残酷さ。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,高く弾む少女の声にドSの愉悦を乗せる。悪戯っぽい笑いと嗜虐的な挑発。ツンデレ系の怒りとは違う、楽しんでいる残酷さ。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,高く弾む少女の声にドSの愉悦を乗せる。悪戯っぽい笑いと嗜虐的な挑発。ツンデレ系の怒りとは違う、楽しんでいる残酷さ。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,高く弾む少女の声にドSの愉悦を乗せる。悪戯っぽい笑いと嗜虐的な挑発。ツンデレ系の怒りとは違う、楽しんでいる残酷さ。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-o00l,傑洛士,物腰柔らかな青年の声。語尾が軽く飄々として、笑顔のまま愉しげに脅す薄気味悪さがある。通常時の話し方。特定の実在人物の声を模倣しない。,物腰柔らかな青年の声。語尾が軽く飄々として、笑顔のまま愉しげに脅す薄気味悪さがある。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,物腰柔らかな青年の声。語尾が軽く飄々として、笑顔のまま愉しげに脅す薄気味悪さがある。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,物腰柔らかな青年の声。語尾が軽く飄々として、笑顔のまま愉しげに脅す薄気味悪さがある。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,物腰柔らかな青年の声。語尾が軽く飄々として、笑顔のまま愉しげに脅す薄気味悪さがある。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-o00x,悟空,明るく素朴な訛りのある成年男性の声。芯が強くハスキーで、戦闘では音高とエネルギーが跳ね上がる。通常時の話し方。特定の実在人物の声を模倣しない。,明るく素朴な訛りのある成年男性の声。芯が強くハスキーで、戦闘では音高とエネルギーが跳ね上がる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,明るく素朴な訛りのある成年男性の声。芯が強くハスキーで、戦闘では音高とエネルギーが跳ね上がる。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,明るく素朴な訛りのある成年男性の声。芯が強くハスキーで、戦闘では音高とエネルギーが跳ね上がる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,明るく素朴な訛りのある成年男性の声。芯が強くハスキーで、戦闘では音高とエネルギーが跳ね上がる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-o02p,初音,明るく電子的な合成少女の歌声。ピッチは安定し、機械的な透明感と可憐さを持つ。電子的な透明感のある明るい声。人間らしい揺らぎは控えめ。特定の実在人物の声を模倣しない。,明るく電子的な合成少女の歌声。ピッチは安定し、機械的な透明感と可憐さを持つ。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,明るく電子的な合成少女の歌声。ピッチは安定し、機械的な透明感と可憐さを持つ。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,明るく電子的な合成少女の歌声。ピッチは安定し、機械的な透明感と可憐さを持つ。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,明るく電子的な合成少女の歌声。ピッチは安定し、機械的な透明感と可憐さを持つ。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-ofar,皮卡丘,高く短い音節の鳴き声のみ。音程と抑揚だけで喜び・警戒・痛み・放電を表現する。言葉は話さない。機嫌のよい弾む鳴き声。特定の実在人物の声を模倣しない。,高く短い音節の鳴き声のみ。音程と抑揚だけで喜び・警戒・痛み・放電を表現する。言葉は話さない。鋭く短い威嚇の鳴き声。特定の実在人物の声を模倣しない。,高く短い音節の鳴き声のみ。音程と抑揚だけで喜び・警戒・痛み・放電を表現する。言葉は話さない。放電。限界まで張り上げ引き伸ばした全力の鳴き声。特定の実在人物の声を模倣しない。,高く短い音節の鳴き声のみ。音程と抑揚だけで喜び・警戒・痛み・放電を表現する。言葉は話さない。痛みで裏返る短い鳴き声。特定の実在人物の声を模倣しない。,高く短い音節の鳴き声のみ。音程と抑揚だけで喜び・警戒・痛み・放電を表現する。言葉は話さない。力なく萎んでいく小さな鳴き声。特定の実在人物の声を模倣しない。
godie-ogld,黑人牙膏,礼儀正しく自信に満ちたプロフェッショナルな低めの男性の声。丁寧で物静かな口調の下に威圧を潜ませ、決して声を荒げない。通常時の話し方。特定の実在人物の声を模倣しない。,礼儀正しく自信に満ちたプロフェッショナルな低めの男性の声。丁寧で物静かな口調の下に威圧を潜ませ、決して声を荒げない。声を荒げず、短く鋭い一言で切り落とす。特定の実在人物の声を模倣しない。,礼儀正しく自信に満ちたプロフェッショナルな低めの男性の声。丁寧で物静かな口調の下に威圧を潜ませ、決して声を荒げない。大技でも荒げない。静かな確信のまま、逃げ場のない宣告をする。特定の実在人物の声を模倣しない。,礼儀正しく自信に満ちたプロフェッショナルな低めの男性の声。丁寧で物静かな口調の下に威圧を潜ませ、決して声を荒げない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,礼儀正しく自信に満ちたプロフェッショナルな低めの男性の声。丁寧で物静かな口調の下に威圧を潜ませ、決して声を荒げない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-orkn,臭作,中年男の油じみた息混じりの声。作り物の親切さと下卑た含み笑い。過度にカートゥーン化しない生々しさ。通常時の話し方。特定の実在人物の声を模倣しない。,中年男の油じみた息混じりの声。作り物の親切さと下卑た含み笑い。過度にカートゥーン化しない生々しさ。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,中年男の油じみた息混じりの声。作り物の親切さと下卑た含み笑い。過度にカートゥーン化しない生々しさ。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,中年男の油じみた息混じりの声。作り物の親切さと下卑た含み笑い。過度にカートゥーン化しない生々しさ。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,中年男の油じみた息混じりの声。作り物の親切さと下卑た含み笑い。過度にカートゥーン化しない生々しさ。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-osam,殺生丸,平坦で低い男性の声。感情をほぼ出さず、短い一言だけで圧をかける貴族的な冷酷さ。長い叫びより短い台詞が効く。通常時の話し方。特定の実在人物の声を模倣しない。,平坦で低い男性の声。感情をほぼ出さず、短い一言だけで圧をかける貴族的な冷酷さ。長い叫びより短い台詞が効く。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,平坦で低い男性の声。感情をほぼ出さず、短い一言だけで圧をかける貴族的な冷酷さ。長い叫びより短い台詞が効く。大技でも声を張らない。むしろ声を低く静め、絶対零度の宣告で終わらせる。特定の実在人物の声を模倣しない。,平坦で低い男性の声。感情をほぼ出さず、短い一言だけで圧をかける貴族的な冷酷さ。長い叫びより短い台詞が効く。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,平坦で低い男性の声。感情をほぼ出さず、短い一言だけで圧をかける貴族的な冷酷さ。長い叫びより短い台詞が効く。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u00h,鬼畜狂刀KYO,粗く野性的な低音の青年の声。好戦的で邪気のある不敵な笑いを含み、一護よりも遅く構えて邪気が濃い。通常時の話し方。特定の実在人物の声を模倣しない。,粗く野性的な低音の青年の声。好戦的で邪気のある不敵な笑いを含み、一護よりも遅く構えて邪気が濃い。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,粗く野性的な低音の青年の声。好戦的で邪気のある不敵な笑いを含み、一護よりも遅く構えて邪気が濃い。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,粗く野性的な低音の青年の声。好戦的で邪気のある不敵な笑いを含み、一護よりも遅く構えて邪気が濃い。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,粗く野性的な低音の青年の声。好戦的で邪気のある不敵な笑いを含み、一護よりも遅く構えて邪気が濃い。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u00j,賽菲洛斯,深く滑らかに共鳴する低音。優雅で遅く、囁きに底知れぬ狂気と余裕を含む神性の圧迫感。普通の戦闘怒号は使わない。通常時の話し方。特定の実在人物の声を模倣しない。,深く滑らかに共鳴する低音。優雅で遅く、囁きに底知れぬ狂気と余裕を含む神性の圧迫感。普通の戦闘怒号は使わない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,深く滑らかに共鳴する低音。優雅で遅く、囁きに底知れぬ狂気と余裕を含む神性の圧迫感。普通の戦闘怒号は使わない。怒号ではなく、荘厳に引き伸ばした宣告。世界を見下ろす静かな圧で満たす。特定の実在人物の声を模倣しない。,深く滑らかに共鳴する低音。優雅で遅く、囁きに底知れぬ狂気と余裕を含む神性の圧迫感。普通の戦闘怒号は使わない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,深く滑らかに共鳴する低音。優雅で遅く、囁きに底知れぬ狂気と余裕を含む神性の圧迫感。普通の戦闘怒号は使わない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u00k,死之王,極端に低く遅い宣告調の声。宗教的な魔王の威厳で、一語一語を刻むように告げる。呂布のような猛々しさは無い、冷たい沈み込む低音。通常時の話し方。特定の実在人物の声を模倣しない。,極端に低く遅い宣告調の声。宗教的な魔王の威厳で、一語一語を刻むように告げる。呂布のような猛々しさは無い、冷たい沈み込む低音。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,極端に低く遅い宣告調の声。宗教的な魔王の威厳で、一語一語を刻むように告げる。呂布のような猛々しさは無い、冷たい沈み込む低音。死の宣告。最低音で時間が止まるほど遅く、逃れられない終わりを告げる。特定の実在人物の声を模倣しない。,極端に低く遅い宣告調の声。宗教的な魔王の威厳で、一語一語を刻むように告げる。呂布のような猛々しさは無い、冷たい沈み込む低音。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,極端に低く遅い宣告調の声。宗教的な魔王の威厳で、一語一語を刻むように告げる。呂布のような猛々しさは無い、冷たい沈み込む低音。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u00l,拳四郎,硬派な男の低く静かな声と、連続する短い裂帛の気合いの落差。冷たい一言と爆発の対比が命。通常時の話し方。特定の実在人物の声を模倣しない。,硬派な男の低く静かな声と、連続する短い裂帛の気合いの落差。冷たい一言と爆発の対比が命。高速で連続する短い気合いの連打。一音一音が鋭く弾ける。特定の実在人物の声を模倣しない。,硬派な男の低く静かな声と、連続する短い裂帛の気合いの落差。冷たい一言と爆発の対比が命。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,硬派な男の低く静かな声と、連続する短い裂帛の気合いの落差。冷たい一言と爆発の対比が命。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,硬派な男の低く静かな声と、連続する短い裂帛の気合いの落差。冷たい一言と爆発の対比が命。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u00n,蒙其.D.魯夫,鼻にかかったハスキーで高エネルギーの少年の声。底抜けに大きな笑いと真っ直ぐな叫び。普通の可愛い子供声にはしない。通常時の話し方。特定の実在人物の声を模倣しない。,鼻にかかったハスキーで高エネルギーの少年の声。底抜けに大きな笑いと真っ直ぐな叫び。普通の可愛い子供声にはしない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,鼻にかかったハスキーで高エネルギーの少年の声。底抜けに大きな笑いと真っ直ぐな叫び。普通の可愛い子供声にはしない。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,鼻にかかったハスキーで高エネルギーの少年の声。底抜けに大きな笑いと真っ直ぐな叫び。普通の可愛い子供声にはしない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,鼻にかかったハスキーで高エネルギーの少年の声。底抜けに大きな笑いと真っ直ぐな叫び。普通の可愛い子供声にはしない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u00v,基廉列克,言葉を話さない。低い唸り、鼻息、押し殺した怒気が爆発する短い咆哮、衝撃音のような発声のみ。静かな鼻息と低い唸り。不機嫌な沈黙の圧。特定の実在人物の声を模倣しない。,言葉を話さない。低い唸り、鼻息、押し殺した怒気が爆発する短い咆哮、衝撃音のような発声のみ。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,言葉を話さない。低い唸り、鼻息、押し殺した怒気が爆発する短い咆哮、衝撃音のような発声のみ。溜め込んだ怒気の大爆発。言葉にならない轟音の咆哮。特定の実在人物の声を模倣しない。,言葉を話さない。低い唸り、鼻息、押し殺した怒気が爆発する短い咆哮、衝撃音のような発声のみ。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,言葉を話さない。低い唸り、鼻息、押し殺した怒気が爆発する短い咆哮、衝撃音のような発声のみ。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u010,飛影,高めの位置で鋭く尖った男性の声。短く傲慢な吐き捨てで、奥義の時だけ爆発的な咆哮に膨れ上がる。通常時の話し方。特定の実在人物の声を模倣しない。,高めの位置で鋭く尖った男性の声。短く傲慢な吐き捨てで、奥義の時だけ爆発的な咆哮に膨れ上がる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,高めの位置で鋭く尖った男性の声。短く傲慢な吐き捨てで、奥義の時だけ爆発的な咆哮に膨れ上がる。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,高めの位置で鋭く尖った男性の声。短く傲慢な吐き捨てで、奥義の時だけ爆発的な咆哮に膨れ上がる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,高めの位置で鋭く尖った男性の声。短く傲慢な吐き捨てで、奥義の時だけ爆発的な咆哮に膨れ上がる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-u01u,索隆,低く気だるい侍の声。面倒くさげでドスの効いた平坦さと、技名を叫ぶ時の豪快な気迫の対比。通常時の話し方。特定の実在人物の声を模倣しない。,低く気だるい侍の声。面倒くさげでドスの効いた平坦さと、技名を叫ぶ時の豪快な気迫の対比。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,低く気だるい侍の声。面倒くさげでドスの効いた平坦さと、技名を叫ぶ時の豪快な気迫の対比。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,低く気だるい侍の声。面倒くさげでドスの効いた平坦さと、技名を叫ぶ時の豪快な気迫の対比。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,低く気だるい侍の声。面倒くさげでドスの効いた平坦さと、技名を叫ぶ時の豪快な気迫の対比。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-ubal,巴恩大魔王,老いて深い威厳の声。絶対の自信でゆっくり朗々と語る帝王の演説口調。荘重で決して揺るがない。通常時の話し方。特定の実在人物の声を模倣しない。,老いて深い威厳の声。絶対の自信でゆっくり朗々と語る帝王の演説口調。荘重で決して揺るがない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,老いて深い威厳の声。絶対の自信でゆっくり朗々と語る帝王の演説口調。荘重で決して揺るがない。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,老いて深い威厳の声。絶対の自信でゆっくり朗々と語る帝王の演説口調。荘重で決して揺るがない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,老いて深い威厳の声。絶対の自信でゆっくり朗々と語る帝王の演説口調。荘重で決して揺るがない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-udea,飛鼠先生,鼻腔共鳴の強い尖った子供っぽい声。高速で生意気にまくし立てるツッコミと嘴砲。通常時の話し方。特定の実在人物の声を模倣しない。,鼻腔共鳴の強い尖った子供っぽい声。高速で生意気にまくし立てるツッコミと嘴砲。技を放つ瞬間だけ急に大げさで中二病的な高張力の宣言に変わる。特定の実在人物の声を模倣しない。,鼻腔共鳴の強い尖った子供っぽい声。高速で生意気にまくし立てるツッコミと嘴砲。チートコードを唱えるかのような、過剰に芝居がかった中二病全開の必殺宣言。特定の実在人物の声を模倣しない。,鼻腔共鳴の強い尖った子供っぽい声。高速で生意気にまくし立てるツッコミと嘴砲。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,鼻腔共鳴の強い尖った子供っぽい声。高速で生意気にまくし立てるツッコミと嘴砲。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hblm,慈悲的王者－賈修貝爾,明るく澄んだ天真な男の子の声。素直で真っ直ぐ、呪文の詠唱では急に力強く張りが出る。大人びさせない。通常時の話し方。特定の実在人物の声を模倣しない。,明るく澄んだ天真な男の子の声。素直で真っ直ぐ、呪文の詠唱では急に力強く張りが出る。大人びさせない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,明るく澄んだ天真な男の子の声。素直で真っ直ぐ、呪文の詠唱では急に力強く張りが出る。大人びさせない。最大の呪文。幼さを残したまま全力で張り上げ、真っ直ぐな決意の詠唱で解き放つ。特定の実在人物の声を模倣しない。,明るく澄んだ天真な男の子の声。素直で真っ直ぐ、呪文の詠唱では急に力強く張りが出る。大人びさせない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,明るく澄んだ天真な男の子の声。素直で真っ直ぐ、呪文の詠唱では急に力強く張りが出る。大人びさせない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-efur,揍敵客大家長－揍敵客桀諾,低く嗄れた老人の声。老練な暗殺者の家長らしく、殺気を内に収めて静かに語る。張り上げず、余裕と圧だけで威す。通常時の話し方。特定の実在人物の声を模倣しない。,低く嗄れた老人の声。老練な暗殺者の家長らしく、殺気を内に収めて静かに語る。張り上げず、余裕と圧だけで威す。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,低く嗄れた老人の声。老練な暗殺者の家長らしく、殺気を内に収めて静かに語る。張り上げず、余裕と圧だけで威す。大技でも吼えない。声を一段低く沈め、静かな確信とともに宣告する。特定の実在人物の声を模倣しない。,低く嗄れた老人の声。老練な暗殺者の家長らしく、殺気を内に収めて静かに語る。張り上げず、余裕と圧だけで威す。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,低く嗄れた老人の声。老練な暗殺者の家長らしく、殺気を内に収めて静かに語る。張り上げず、余裕と圧だけで威す。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-zombiex,聖杯黑泥醬－喪標麥可,台湾語なまりの粗く高エネルギーな成人男性の声。台湾語の俚語を織り交ぜて高速でまくし立てる、誇張の大きい喜劇の勢い。他のキャラと混ざらない独自の粗さを保つ。通常時の話し方。特定の実在人物の声を模倣しない。,台湾語なまりの粗く高エネルギーな成人男性の声。台湾語の俚語を織り交ぜて高速でまくし立てる、誇張の大きい喜劇の勢い。他のキャラと混ざらない独自の粗さを保つ。台湾語のリズムで短く景気よく吼える攻撃の掛け声。特定の実在人物の声を模倣しない。,台湾語なまりの粗く高エネルギーな成人男性の声。台湾語の俚語を織り交ぜて高速でまくし立てる、誇張の大きい喜劇の勢い。他のキャラと混ざらない独自の粗さを保つ。大笑いを交えつつ、誇張全開で最大限に張り上げる必殺宣言。特定の実在人物の声を模倣しない。,台湾語なまりの粗く高エネルギーな成人男性の声。台湾語の俚語を織り交ぜて高速でまくし立てる、誇張の大きい喜劇の勢い。他のキャラと混ざらない独自の粗さを保つ。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,台湾語なまりの粗く高エネルギーな成人男性の声。台湾語の俚語を織り交ぜて高速でまくし立てる、誇張の大きい喜劇の勢い。他のキャラと混ざらない独自の粗さを保つ。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
